,long,lat,City,Country,Date,Cloudiness,Humidity,Max Temp,Wind Speed
574,-65.70624144510442,4.403730191115827,inirida,co,1600201755,63,63,88.34,2.53
578,17.102516655307028,21.667110353617588,faya,td,1600201755,50,88,66.2,1.19
584,15.796990129616972,-25.115466159755968,maltahohe,na,1600201755,0,40,50.13,10.51
586,6.492317773198721,-28.250532335189348,luderitz,na,1600201755,0,71,56.12,17.43
591,-24.320526703271014,16.476800725020794,ribeira brava,cv,1600201755,40,78,73.4,4.7
593,-64.41703102747489,-5.2545999716483465,canutama,br,1600201756,100,30,98.24,1.48
597,91.24082039517333,35.42169579731571,lasa,cn,1600201756,5,88,62.6,1.12
601,140.91582293035412,28.67444734607156,shimoda,jp,1600201756,100,95,68.0,1.01
602,79.27447128351503,4.663154568291105,galle,lk,1600201756,58,88,79.32,10.71
603,115.26773032750714,28.386983691025264,xinyu,cn,1600201757,100,97,71.6,3.24
605,153.5433374125845,58.16638417115044,ola,ru,1600201757,27,76,46.56,6.55
612,-88.70095662720705,0.12884712482664895,san cristobal,ec,1600201757,75,52,87.8,13.87
618,73.796069515997,59.48463924777187,barsovo,ru,1600201757,83,66,55.4,11.18
624,-64.820494755148,-48.66622324692818,comodoro rivadavia,ar,1600201498,20,35,55.4,8.05
625,-72.01551889999486,16.013394025913172,pedernales,do,1600201758,40,74,87.8,16.11
626,-109.17495568593422,2.7454465531464933,ixtapa,mx,1600201531,75,74,89.01,9.17
631,-25.18878422425132,-5.915558765718856,cabedelo,br,1600201758,20,74,78.8,16.11
637,-84.31878291332896,33.83701936732106,north druid hills,us,1600201758,90,73,73.4,4.7
642,-86.84740148127935,35.777924259033995,spring hill,us,1600201564,40,74,84.99,6.93
648,98.31885020833852,60.4747371726632,kodinsk,ru,1600201759,13,88,44.26,3.31
